,date,year,month,day,countryCode,taxonID,phylum,class,order,family,genus,specificEpithet,species,Substrate,Latitude,Longitude,CoorUncert,Habitat,image_path,class_id,genus_id,family_id
1674,2018-09-01,2018.0,9.0,1.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.04981,12.255421,75.0,mixed woodland (coniferous and deciduous trees),2238554442-330163.jpg,1587,563,17
1675,2020-08-13,2020.0,8.0,13.0,DK,16118.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,vulpinum,Leccinum vulpinum,soil,56.172631,8.415545,10.0,coniferous woodland,2831359323-60985.jpg,828,274,17
1676,2016-09-24,2016.0,9.0,24.0,DK,60908.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,pelletieri,Phylloporus pelletieri,soil,55.705489,9.532472,15.0,deciduous woodland,2238477558-19244.jpg,1157,405,17
1677,2019-10-14,2019.0,10.0,14.0,DK,11061.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,aereus,Boletus aereus,soil,54.746226,11.094947,25.0,deciduous woodland,2427873899-121736.jpg,104,39,17
1678,2009-08-04,2009.0,8.0,4.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,"stems of herbs, grass",56.115680000000005,10.21294,5.0,lawn,2238191169-83808.jpg,1587,563,17
1679,2018-09-05,2018.0,9.0,5.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,55.690939,12.55188,75.0,park,2238555428-32586.jpg,618,225,17
1680,2013-10-04,2013.0,10.0,4.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,56.004,12.29297,75.0,coniferous woodland,2238341984-86517.jpg,1023,348,17
1681,2012-07-25,2012.0,7.0,25.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,55.61903,8.14645,50.0,coniferous woodland,2238150510-156024.jpg,1592,39,17
1682,2014-08-24,2014.0,8.0,24.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,"stems of herbs, grass",55.223980000000005,11.7994,50.0,mixed woodland (coniferous and deciduous trees),2238379433-13978.jpg,1592,39,17
1683,2019-09-27,2019.0,9.0,27.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,56.101447,9.324153,15.0,ditch,2421822910-193483.jpg,1023,348,17
1684,2016-09-13,2016.0,9.0,13.0,DK,65783.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubroboletus,satanas,Rubroboletus satanas,soil,56.11713100000001,10.227901,5.0,deciduous woodland,2238474076-241306.jpg,1312,474,17
1685,2020-10-28,2020.0,10.0,28.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,56.633495,9.803918,5.0,park,2901936432-367484.jpg,105,39,17
1686,2020-09-13,2020.0,9.0,13.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,leaves,55.765975,12.411647,1.0,mixed woodland (coniferous and deciduous trees),2860309437-360524.jpg,711,248,17
1687,2018-09-28,2018.0,9.0,28.0,DK,21358.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,felleus,Tylopilus felleus,soil,56.04424,12.559716,50.0,coniferous woodland,2238567921-257421.jpg,1551,544,17
1688,2018-08-14,2018.0,8.0,14.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,56.948251,9.503139,50.0,garden,2238551688-31955.jpg,617,225,17
1689,2019-09-03,2019.0,9.0,3.0,DK,21358.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,felleus,Tylopilus felleus,soil,56.085586,9.311669,15.0,coniferous woodland,2383042980-191739.jpg,1551,544,17
1690,2020-10-18,2020.0,10.0,18.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,55.76829,12.421074,1.0,mixed woodland (coniferous and deciduous trees),2883262543-67548.jpg,1590,563,17
1691,2016-10-31,2016.0,10.0,31.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,56.005196,12.283773,75.0,deciduous woodland,2238482164-94171.jpg,1590,563,17
1692,2018-08-23,2018.0,8.0,23.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.382304000000005,11.590456,50.0,mixed woodland (coniferous and deciduous trees),2238554312-330146.jpg,1587,563,17
1693,2019-09-01,2019.0,9.0,1.0,DK,65745.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,luridus,Suillellus luridus,soil,55.035671,10.71264,50.0,deciduous woodland,2383042206-265694.jpg,1453,513,17
1694,2010-09-04,2010.0,9.0,4.0,DK,20681.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,strobilaceus,Strobilomyces strobilaceus,soil,55.78473,12.56492,100.0,deciduous woodland,2237916786-225453.jpg,1441,509,17
1695,2017-07-23,2017.0,7.0,23.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,56.12364399999999,9.627079,75.0,mixed woodland (coniferous and deciduous trees),2238496415-170431.jpg,127,54,17
1696,2016-07-22,2016.0,7.0,22.0,DK,67274.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,fuscoroseus,Butyriboletus fuscoroseus,soil,54.685015,11.527281,10.0,deciduous woodland,2238468019-92259.jpg,122,49,17
1697,2016-07-21,2016.0,7.0,21.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,56.947022,10.235149,10.0,coniferous woodland,2238469373-18199.jpg,1592,39,17
1698,2018-10-19,2018.0,10.0,19.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.765758,12.423357,25.0,coniferous woodland,2238575473-36582.jpg,711,248,17
1699,2010-08-27,2010.0,8.0,27.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,55.52091,9.47706,50.0,park,2237921027-300813.jpg,617,225,17
1700,2012-08-04,2012.0,8.0,4.0,DK,21358.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,felleus,Tylopilus felleus,soil,54.786530000000006,11.81168,100.0,deciduous woodland,2238150862-305443.jpg,1551,544,17
1701,2018-09-09,2018.0,9.0,9.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,55.025047,15.111417,15.0,deciduous woodland,2238557165-181403.jpg,1023,348,17
1702,2010-07-26,2010.0,7.0,26.0,DK,11095.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,rubellus,Hortiboletus rubellus,soil,55.88545,10.11709,10.0,lawn,2238591249-113798.jpg,619,225,17
1703,2011-07-26,2011.0,7.0,26.0,DK,20681.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,strobilaceus,Strobilomyces strobilaceus,soil,55.6808,9.85941,25.0,coniferous woodland,2237963382-302411.jpg,1441,509,17
1704,2018-09-28,2018.0,9.0,28.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.843947,12.027494,15.0,mixed woodland (coniferous and deciduous trees),2238565250-183024.jpg,711,248,17
1705,2019-08-26,2019.0,8.0,26.0,DK,16117.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,versipelle,Leccinum versipelle,soil,55.937817,12.342772,5.0,deciduous woodland,2382323342-340532.jpg,827,274,17
1706,2018-09-09,2018.0,9.0,9.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.45556800000001,12.149605,15.0,coniferous woodland,2238558382-331029.jpg,1587,563,17
1707,2014-11-02,2014.0,11.0,2.0,DK,11073.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hemileccinum,impolitum,Hemileccinum impolitum,soil,56.26426,10.349,50.0,deciduous woodland,2238400602-312617.jpg,597,212,17
1708,2018-10-10,2018.0,10.0,10.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,56.198779,8.24136,75.0,mixed woodland (coniferous and deciduous trees),2238574870-184837.jpg,711,248,17
1709,2017-07-20,2017.0,7.0,20.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.636359,9.847012,75.0,deciduous woodland,2238496955-170550.jpg,1587,563,17
1710,2009-09-07,2009.0,9.0,7.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,"stems of herbs, grass",56.11714,10.18849,50.0,roadside,2238288131-233871.jpg,824,274,17
1711,2019-07-07,2019.0,7.0,7.0,DK,21358.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,felleus,Tylopilus felleus,soil,55.089237,10.538794,25.0,deciduous woodland,2274829779-115517.jpg,1551,544,17
1712,2020-10-24,2020.0,10.0,24.0,DK,16117.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,versipelle,Leccinum versipelle,soil,56.000703,12.44762,5.0,mixed woodland (coniferous and deciduous trees),2898626433-68671.jpg,827,274,17
1713,2016-08-16,2016.0,8.0,16.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.226722,12.206574,75.0,coniferous woodland,2238470728-18363.jpg,1587,563,17
1714,2018-08-25,2018.0,8.0,25.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,56.001693,12.274549,50.0,deciduous woodland,2238552762-329841.jpg,105,39,17
1715,2010-08-21,2010.0,8.0,21.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,54.99473,10.69219,50.0,deciduous woodland,2237912559-77213.jpg,1592,39,17
1716,2018-08-29,2018.0,8.0,29.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,55.7681,12.404873,75.0,deciduous woodland,2238553462-329964.jpg,105,39,17
1717,2019-06-20,2019.0,6.0,20.0,DK,11093.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,reticulatus,Boletus reticulatus,soil,56.083627,10.248725,25.0,deciduous woodland,2273187741-263302.jpg,107,39,17
1718,2013-10-27,2013.0,10.0,27.0,DK,16116.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,variicolor,Leccinum variicolor,soil,56.051480000000005,12.55042,75.0,deciduous woodland,2238352138-12813.jpg,826,274,17
1719,2020-10-11,2020.0,10.0,11.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,56.023497,12.34697,1.0,coniferous woodland,2883270376-290950.jpg,711,248,17
1720,2015-11-01,2015.0,11.0,1.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.999880000000005,12.31313,50.0,mixed woodland (coniferous and deciduous trees),2238436438-16372.jpg,711,248,17
1721,2018-09-06,2018.0,9.0,6.0,DK,63618.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,cyaneobasileucum,Leccinum cyaneobasileucum,soil,55.56237900000001,11.89016,75.0,mixed woodland (coniferous and deciduous trees),2238555771-254958.jpg,820,274,17
1722,2020-09-14,2020.0,9.0,14.0,DK,11062.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,appendiculatus,Butyriboletus appendiculatus,soil,55.166583,11.714653,15.0,mixed woodland (coniferous and deciduous trees),2862695333-63156.jpg,120,49,17
1723,2020-10-14,2020.0,10.0,14.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.602333,12.52907,1.0,deciduous woodland,2901949313-70424.jpg,824,274,17
1724,2018-08-29,2018.0,8.0,29.0,DK,11061.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,aereus,Boletus aereus,soil,56.08300799999999,10.249453,15.0,deciduous woodland,2238556703-32830.jpg,104,39,17
1725,2019-05-30,2019.0,5.0,30.0,DK,11088.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,pulverulentus,Cyanoboletus pulverulentus,soil,55.627061,8.532919,15.0,mixed woodland (coniferous and deciduous trees),2248039461-262588.jpg,369,122,17
1726,2013-08-24,2013.0,8.0,24.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,55.67505,9.37645,100.0,deciduous woodland,2238218727-308584.jpg,1592,39,17
1727,2018-09-05,2018.0,9.0,5.0,DK,11091.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,radicans,Caloboletus radicans,soil,56.267177,10.354715,15.0,deciduous woodland,2238555911-255001.jpg,128,54,17
1728,2015-07-25,2015.0,7.0,25.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.76576,12.42446,50.0,coniferous woodland,2238416897-313254.jpg,1587,563,17
1729,2012-09-02,2012.0,9.0,2.0,DK,60908.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,pelletieri,Phylloporus pelletieri,soil,55.91694,12.35273,50.0,deciduous woodland,2238160902-305882.jpg,1157,405,17
1730,2020-11-27,2020.0,11.0,27.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,54.743697,11.558078,15.0,coniferous woodland,2986398363-73149.jpg,163,76,17
1731,2010-10-05,2010.0,10.0,5.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.7764,9.70539,50.0,willow scrubland,2237932513-3598.jpg,824,274,17
1732,2020-09-10,2020.0,9.0,10.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.01446899999999,12.29075,15.0,deciduous woodland,2860296396-285149.jpg,1587,563,17
1733,2019-10-01,2019.0,10.0,1.0,DK,11064.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,badia,Imleria badia,soil,55.769766,10.592441,75.0,mixed woodland (coniferous and deciduous trees),2575122296-278664.jpg,711,248,17
1734,2020-09-27,2020.0,9.0,27.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,56.03481800000001,12.038175,50.0,coniferous woodland,2864901462-361764.jpg,1592,39,17
1735,2011-08-22,2011.0,8.0,22.0,DK,61279.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,cisalpinus,Xerocomellus cisalpinus,soil,55.92055,11.70658,50.0,mixed woodland (coniferous and deciduous trees),2237971226-227574.jpg,1588,563,17
1736,2009-11-22,2009.0,11.0,22.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,56.06211999999999,12.26574,50.0,deciduous woodland,2238458315-165867.jpg,105,39,17
1737,2015-09-09,2015.0,9.0,9.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.210930000000005,11.79381,10.0,mixed woodland (coniferous and deciduous trees),2238423204-89952.jpg,1587,563,17
1738,2017-07-12,2017.0,7.0,12.0,DK,11101.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,subtomentosus,Boletus subtomentosus,soil,54.719812,11.818211,5.0,deciduous woodland,2238497436-244590.jpg,1593,39,17
1739,2020-08-08,2020.0,8.0,8.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,55.097746,10.540643,25.0,deciduous woodland,2825694356-283530.jpg,1587,563,17
1740,2020-09-15,2020.0,9.0,15.0,DK,65745.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,luridus,Suillellus luridus,wood and roots of living trees,55.546603000000005,12.127483,15.0,garden,2862686348-62716.jpg,1453,513,17
1741,2017-11-04,2017.0,11.0,4.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,55.752809,8.251355,10.0,mixed woodland (coniferous and deciduous trees),2238529951-249962.jpg,1023,348,17
1742,2010-09-07,2010.0,9.0,7.0,DK,11062.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,appendiculatus,Butyriboletus appendiculatus,soil,55.85468,12.35852,150.0,deciduous woodland,2237918661-225525.jpg,120,49,17
1743,2017-09-20,2017.0,9.0,20.0,DK,16080.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,albostipitatum,Leccinum albostipitatum,wood and roots of living trees,55.570448,12.562965,25.0,deciduous woodland,2238515520-173649.jpg,818,274,17
1744,2011-10-16,2011.0,10.0,16.0,DK,11086.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,pruinatus,Xerocomellus pruinatus,soil,55.9192,12.23534,100.0,deciduous woodland,2238121509-80620.jpg,1590,563,17
1745,2020-07-07,2020.0,7.0,7.0,DK,67237.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,engelii,Hortiboletus engelii,soil,55.654732,12.529674,5.0,park,2812995314-133418.jpg,618,225,17
1746,2017-07-26,2017.0,7.0,26.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.009923,9.884664,10.0,coniferous woodland,2238498880-170859.jpg,1587,563,17
1747,2017-10-06,2017.0,10.0,6.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,55.094824,15.072829999999998,75.0,deciduous woodland,2238519343-26022.jpg,127,54,17
1748,2011-09-01,2011.0,9.0,1.0,DK,16116.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,variicolor,Leccinum variicolor,soil,55.84405,12.47978,150.0,deciduous woodland,2238050451-227887.jpg,826,274,17
1749,2019-09-30,2019.0,9.0,30.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,55.972135,10.549592,10.0,mixed woodland (coniferous and deciduous trees),2575119328-55146.jpg,105,39,17
1750,2017-08-10,2017.0,8.0,10.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,56.788516,9.898038,25.0,coniferous woodland,2238499884-96847.jpg,1587,563,17
1751,2010-08-25,2010.0,8.0,25.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,54.8082,12.12358,150.0,deciduous woodland,2237913920-151137.jpg,824,274,17
1752,2020-06-04,2020.0,6.0,4.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,55.090686,10.539082,25.0,deciduous woodland,2632352316-281149.jpg,1023,348,17
1753,2020-10-18,2020.0,10.0,18.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,leaves,56.358118000000005,10.734673,75.0,coniferous woodland,2883264554-141546.jpg,105,39,17
1754,2019-08-19,2019.0,8.0,19.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.09998,10.498398,10.0,grassland,2351007771-265060.jpg,824,274,17
1755,2019-08-24,2019.0,8.0,24.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,57.478078,10.172453,15.0,deciduous woodland,2351007169-116776.jpg,163,76,17
1756,2018-09-02,2018.0,9.0,2.0,DK,11085.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,porosporus,Xerocomellus porosporus,soil,56.63584,9.83506,25.0,deciduous woodland,2238555746-254949.jpg,1589,563,17
1757,2013-09-30,2013.0,9.0,30.0,DK,40854.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,ferrugineus,Boletus ferrugineus,soil,55.97514,12.52579,100.0,deciduous woodland,2238341548-12216.jpg,1592,39,17
1758,2019-09-23,2019.0,9.0,23.0,SE,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,56.253126,13.582435,75.0,mixed woodland (coniferous and deciduous trees),2421822465-193407.jpg,105,39,17
1759,2016-09-18,2016.0,9.0,18.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,56.097418000000005,10.24172,25.0,deciduous woodland,2238474573-18937.jpg,1023,348,17
1760,2020-09-05,2020.0,9.0,5.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.635,8.274444,15.0,park,2856929362-359875.jpg,824,274,17
1761,2020-09-21,2020.0,9.0,21.0,DK,11067.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,bubalinus,Hortiboletus bubalinus,soil,55.935933,12.289879,5.0,park,2864904347-361862.jpg,617,225,17
1762,2020-09-10,2020.0,9.0,10.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,56.025307,9.92077,5.0,deciduous woodland,2860298387-360136.jpg,1023,348,17
1763,2018-07-28,2018.0,7.0,28.0,DK,11091.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,radicans,Caloboletus radicans,soil,54.977684,12.547286,75.0,deciduous woodland,2238549252-328933.jpg,128,54,17
1764,2020-10-03,2020.0,10.0,3.0,DK,61279.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,cisalpinus,Xerocomellus cisalpinus,soil,55.340413,8.76695,6.0,deciduous woodland,2868474489-138820.jpg,1588,563,17
1765,2020-10-12,2020.0,10.0,12.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,54.72734499999999,11.548383,1.0,coniferous woodland,2883265322-365666.jpg,163,76,17
1766,2019-08-17,2019.0,8.0,17.0,DK,65745.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,luridus,Suillellus luridus,soil,55.673035,12.514981,10.0,park,2332528132-339730.jpg,1453,513,17
1767,2009-08-29,2009.0,8.0,29.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,56.08472,10.23948,10.0,deciduous woodland,2238268741-233752.jpg,824,274,17
1768,2012-08-12,2012.0,8.0,12.0,DK,11095.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,rubellus,Hortiboletus rubellus,soil,55.12805,10.25244,10.0,grassland,2238154781-230409.jpg,619,225,17
1769,2020-07-20,2020.0,7.0,20.0,DK,11573.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,piperatus,Chalciporus piperatus,soil,54.736355,11.595072,1.0,coniferous woodland,2818072313-59906.jpg,163,76,17
1770,2018-08-15,2018.0,8.0,15.0,DK,11088.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,pulverulentus,Cyanoboletus pulverulentus,soil,56.441667,9.142759,25.0,deciduous woodland,2238550529-105841.jpg,369,122,17
1771,2010-07-02,2010.0,7.0,2.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,55.766580000000005,12.40829,75.0,deciduous woodland,2238589686-261800.jpg,1023,348,17
1772,2017-08-17,2017.0,8.0,17.0,DK,16118.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,vulpinum,Leccinum vulpinum,soil,56.064855,9.225241,10.0,coniferous woodland,2238503060-171526.jpg,828,274,17
1773,2018-08-25,2018.0,8.0,25.0,DK,11085.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,porosporus,Xerocomellus porosporus,soil,55.962582,12.3336,25.0,deciduous woodland,2238551500-180288.jpg,1589,563,17
1774,2018-08-28,2018.0,8.0,28.0,DK,16111.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,Leccinum scabrum,soil,55.91900699999999,12.336566,75.0,deciduous woodland,2238553602-329987.jpg,824,274,17
1775,2019-10-19,2019.0,10.0,19.0,DK,11069.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,edulis,Boletus edulis,soil,55.912622,11.962416,25.0,mixed woodland (coniferous and deciduous trees),2427875350-196077.jpg,105,39,17
1776,2018-09-22,2018.0,9.0,22.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,56.071209,10.254933,10.0,deciduous woodland,2238564398-34463.jpg,127,54,17
1777,2019-07-01,2019.0,7.0,1.0,DK,11068.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,calopus,Caloboletus calopus,soil,55.961573,12.332377,25.0,deciduous woodland,2273838047-338608.jpg,127,54,17
1778,2009-07-12,2009.0,7.0,12.0,DK,11082.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,soil,57.20489,10.29253,10.0,deciduous woodland,2238590721-261857.jpg,1587,563,17
1779,2019-09-24,2019.0,9.0,24.0,DK,65789.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,luridiformis,Neoboletus luridiformis,soil,54.765419,11.719202,50.0,coniferous woodland,2421823576-267703.jpg,1023,348,17
1780,2016-09-14,2016.0,9.0,14.0,DK,11070.0,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,fechtneri,Butyriboletus fechtneri,soil,56.098578,10.241306,10.0,deciduous woodland,2238474122-316618.jpg,121,49,17
